series_id,label,title,units,frequency,date,value,retrieved
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1957-07-01,4.285,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1957-10-01,4.031,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1958-01-01,3.696,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1958-04-01,3.475,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1958-07-01,3.564,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1958-10-01,3.691,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1959-01-01,3.759,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1959-04-01,3.837,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1959-07-01,3.96,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1959-10-01,4.395,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1960-01-01,4.592,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1960-04-01,4.94,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1960-07-01,4.817,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1960-10-01,5.129,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1961-01-01,4.833,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1961-04-01,5.338,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1961-07-01,5.352,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1961-10-01,5.52,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1962-01-01,5.855,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1962-04-01,5.723,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1962-07-01,5.554,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1962-10-01,5.694,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1963-01-01,6.043,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1963-04-01,6.459,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1963-07-01,6.767,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1963-10-01,6.843,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1964-01-01,7.194,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1964-04-01,7.295,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1964-07-01,7.23,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1964-10-01,7.74,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1965-01-01,7.844,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1965-04-01,8.255,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1965-07-01,8.778,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1965-10-01,9.19,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1966-01-01,9.832,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1966-04-01,10.487,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1966-07-01,10.937,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1966-10-01,11.397,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1967-01-01,11.125,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1967-04-01,11.222,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1967-07-01,11.058,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1967-10-01,11.695,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1968-01-01,11.854,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1968-04-01,11.711,2026-05-15
