year,stateid,state_name,sector,sales_twh,price_cents_per_kwh,retrieved
2015,WV,West Virginia,residential,11.437451,10.08,2026-05-15
2016,WV,West Virginia,residential,11.375581,11.44,2026-05-15
2017,WV,West Virginia,residential,10.57346301,11.63,2026-05-15
2018,WV,West Virginia,residential,11.679455,11.18,2026-05-15
2019,WV,West Virginia,residential,11.153219,11.25,2026-05-15
2020,WV,West Virginia,residential,10.877499,11.8,2026-05-15
2021,WV,West Virginia,residential,11.050705,12.15,2026-05-15
2022,WV,West Virginia,residential,11.13697,13.23,2026-05-15
2023,WV,West Virginia,residential,10.233823990000001,14.05,2026-05-15
2024,WV,West Virginia,residential,10.674503000000001,15.07,2026-05-15
2025,WV,West Virginia,residential,11.16316005,15.41,2026-05-15
2001,WY,Wyoming,all sectors,12.949504999999998,4.46,2026-05-15
2002,WY,Wyoming,all sectors,12.87406,4.68,2026-05-15
2003,WY,Wyoming,all sectors,13.253836,4.76,2026-05-15
2004,WY,Wyoming,all sectors,13.539513000000001,4.98,2026-05-15
2005,WY,Wyoming,all sectors,14.137727,5.16,2026-05-15
2006,WY,Wyoming,all sectors,14.946612,5.27,2026-05-15
2007,WY,Wyoming,all sectors,15.535552,5.29,2026-05-15
2008,WY,Wyoming,all sectors,16.69024899,5.67,2026-05-15
2009,WY,Wyoming,all sectors,16.56193701,6.08,2026-05-15
2010,WY,Wyoming,all sectors,17.11345801,6.2,2026-05-15
2011,WY,Wyoming,all sectors,17.417762009999997,6.58,2026-05-15
2012,WY,Wyoming,all sectors,16.97135399,7.19,2026-05-15
2013,WY,Wyoming,all sectors,17.053514,7.55,2026-05-15
2014,WY,Wyoming,all sectors,17.13407502,7.76,2026-05-15
2015,WY,Wyoming,all sectors,16.92476199,7.97,2026-05-15
2016,WY,Wyoming,all sectors,16.554869999999998,8.19,2026-05-15
2017,WY,Wyoming,all sectors,16.77806699,8.28,2026-05-15
2018,WY,Wyoming,all sectors,16.86467799,8.09,2026-05-15
2019,WY,Wyoming,all sectors,16.763496009999997,8.1,2026-05-15
2020,WY,Wyoming,all sectors,15.331018,8.27,2026-05-15
2021,WY,Wyoming,all sectors,15.784711999999999,8.25,2026-05-15
2022,WY,Wyoming,all sectors,16.49942898,8.24,2026-05-15
2023,WY,Wyoming,all sectors,16.790115,8.39,2026-05-15
2024,WY,Wyoming,all sectors,17.21690101,9.14,2026-05-15
2025,WY,Wyoming,all sectors,17.33645385,9.75,2026-05-15
2001,WY,Wyoming,residential,2.145532,6.77,2026-05-15
2002,WY,Wyoming,residential,2.232285,6.97,2026-05-15
2003,WY,Wyoming,residential,2.286201,7.04,2026-05-15
2004,WY,Wyoming,residential,2.2618139999999998,7.21,2026-05-15
2005,WY,Wyoming,residential,2.376532,7.48,2026-05-15
2006,WY,Wyoming,residential,2.4679349999999998,7.75,2026-05-15
2007,WY,Wyoming,residential,2.5921190000000003,7.75,2026-05-15
2008,WY,Wyoming,residential,2.718705,8.21,2026-05-15
2009,WY,Wyoming,residential,2.71952401,8.58,2026-05-15
2010,WY,Wyoming,residential,2.7272009899999996,8.77,2026-05-15
2011,WY,Wyoming,residential,2.80272599,9.11,2026-05-15
2012,WY,Wyoming,residential,2.71652799,9.85,2026-05-15
2013,WY,Wyoming,residential,2.8294960000000002,10.16,2026-05-15
2014,WY,Wyoming,residential,2.75231302,10.5,2026-05-15
2015,WY,Wyoming,residential,2.676702,10.97,2026-05-15
2016,WY,Wyoming,residential,2.751073,11.13,2026-05-15
2017,WY,Wyoming,residential,2.772371,11.37,2026-05-15
2018,WY,Wyoming,residential,2.7483560000000002,11.29,2026-05-15
2019,WY,Wyoming,residential,2.8493780099999997,11.18,2026-05-15
2020,WY,Wyoming,residential,2.8795279999999996,11.11,2026-05-15
2021,WY,Wyoming,residential,2.897498,11.17,2026-05-15
2022,WY,Wyoming,residential,3.00868001,11.09,2026-05-15
2023,WY,Wyoming,residential,2.947863,11.46,2026-05-15
2024,WY,Wyoming,residential,2.968051,12.47,2026-05-15
2025,WY,Wyoming,residential,2.9548567699999997,13.38,2026-05-15
