series_id,label,group,title,units,frequency,date,value,retrieved
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-12-31,1.307,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-01-07,1.249,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-01-14,1.174,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-01-21,1.083,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-01-28,0.982,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-02-04,0.88,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-02-11,0.78,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-02-18,0.687,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-02-25,0.604,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-03-03,0.533,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-03-10,0.472,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-03-17,0.421,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-03-24,0.376,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-03-31,0.333,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-04-07,0.289,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-04-14,0.243,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-04-21,0.194,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-04-28,0.147,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-05-05,0.102,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-05-12,0.065,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-05-19,0.039,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-05-26,0.029,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-06-02,0.036,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-06-09,0.062,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-06-16,0.103,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-06-23,0.155,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-06-30,0.21,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-07-07,0.262,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-07-14,0.303,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-07-21,0.327,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-07-28,0.331,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-08-04,0.312,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-08-11,0.274,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-08-18,0.219,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-08-25,0.154,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-09-01,0.086,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-09-08,0.021,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-09-15,-0.035,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-09-22,-0.08,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-09-29,-0.114,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-10-06,-0.137,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-10-13,-0.154,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-10-20,-0.168,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-10-27,-0.181,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-11-03,-0.196,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-11-10,-0.214,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-11-17,-0.234,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-11-24,-0.255,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-12-01,-0.272,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-12-08,-0.282,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-12-15,-0.279,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-12-22,-0.257,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1972-12-29,-0.211,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-01-05,-0.138,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-01-12,-0.036,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-01-19,0.093,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-01-26,0.245,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-02-02,0.413,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-02-09,0.587,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-02-16,0.756,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-02-23,0.911,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-03-02,1.042,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-03-09,1.145,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-03-16,1.215,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-03-23,1.258,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-03-30,1.275,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-04-06,1.272,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-04-13,1.256,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-04-20,1.231,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-04-27,1.203,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-05-04,1.175,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-05-11,1.151,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-05-18,1.132,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-05-25,1.121,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-06-01,1.121,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-06-08,1.135,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-06-15,1.166,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-06-22,1.214,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-06-29,1.284,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-07-06,1.372,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-07-13,1.479,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-07-20,1.599,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-07-27,1.729,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-08-03,1.861,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-08-10,1.99,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-08-17,2.11,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-08-24,2.217,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-08-31,2.305,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-09-07,2.369,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-09-14,2.407,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-09-21,2.42,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-09-28,2.41,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-10-05,2.378,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-10-12,2.333,2026-05-29
