series_id,label,title,units,date,value,retrieved
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2000-09-01,814330.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2000-10-01,816100.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2000-11-01,820054.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2000-12-01,811516.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2001-01-01,814479.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2001-02-01,813647.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2001-03-01,828057.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2001-04-01,842392.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2001-05-01,848146.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2001-06-01,855730.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2001-07-01,850471.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2001-08-01,847465.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2001-09-01,837412.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2001-10-01,845941.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2001-11-01,843911.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2001-12-01,849689.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2002-01-01,858654.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2002-02-01,862338.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2002-03-01,844551.0,2026-05-15
