ticker,company,fiscal_year,operating_cash_flow_usd,share_based_comp_usd,sbc_pct_ocf,capex_usd,buybacks_usd,equity_issuance_usd,coverage,coverage_adj,retrieved
MSFT,Microsoft,2025,136.16,11.97,8.793936634303257,64.55,18.42,2.06,2.1093708850366375,1.923874146024074,2026-07-19
GOOGL,Alphabet,2025,164.71,24.95,15.149381044604858,91.45,45.71,0.0,1.8011853860706202,1.5283169486150447,2026-07-19
AMZN,Amazon,2025,139.51,19.47,13.95343836460857,131.82,0.0,0.0,1.0583754997382775,0.910695726716179,2026-07-19
META,Meta Platforms,2025,115.8,20.43,17.639896373056995,69.69,26.25,0.0,1.6616205822846566,1.3685124334562568,2026-07-19
NVDA,NVIDIA,2026,102.72,6.39,6.217021359450145,6.04,40.09,0.0,17.00066203243959,15.943727242634889,2026-07-19
ORCL,Oracle,2026,31.98,4.81,15.045188729399255,55.66,0.1,1.45,0.5744749654168837,0.4880441226667625,2026-07-19
CRWV,CoreWeave,2025,3.06,0.63,20.601700457815568,10.31,0.0,0.0,0.29663400911824617,0.2355223591036958,2026-07-19
